contract_id,premium,claims,expected_service_cost
0,1249.6714153011233,1067.9226523903203,213.58453047806407
1,1186.1735698828816,1010.9560419495323,202.19120838990648
2,1264.7688538100692,907.1556443904209,181.4311288780842
3,1352.3029856408025,822.3675866753312,164.47351733506625
4,1176.5846625276663,983.7867976336308,196.7573595267262
5,1176.586304305082,947.2182462506099,189.443649250122
6,1357.9212815507392,1007.4231864033279,201.4846372806656
7,1276.7434729152908,976.2206162018364,195.2441232403673
8,1153.0525614065048,1025.9463258383203,205.18926516766408
9,1254.2560043585966,835.7717746127319,167.1543549225464
10,1153.6582307187537,1058.087287876119,211.61745757522382
11,1153.4270246429744,923.711952563088,184.7423905126176
12,1224.1962271566035,1149.0313047150319,229.80626094300638
13,1008.6719755342202,817.2974618292519,163.4594923658504
14,1027.5082167486967,1108.31565637983,221.663131275966
15,1143.7712470759027,923.7492940155178,184.74985880310356
16,1098.7168879665576,821.8298395662662,164.36596791325326
17,1231.4247332595273,841.9336999134814,168.3867399826963
18,1109.1975924478788,861.5583230166816,172.31166460333634
19,1058.769629866471,950.89991356823,190.179982713646
20,1346.5648768921553,962.74025856426,192.54805171285201
21,1177.4223699513464,831.1559995273706,166.2311999054741
22,1206.7528204687924,897.0774489286821,179.41548978573644
23,1057.5251813786542,1157.0724430334235,231.4144886066847
24,1145.5617275474817,1107.3051804120853,221.46103608241708
25,1211.0922589709867,952.3588403608838,190.4717680721768
26,1084.9006422577697,904.560417380184,180.91208347603683
27,1237.5698018345672,914.4037592061914,182.8807518412383
28,1139.9361310081194,973.62215672765,194.72443134553
29,1170.8306250206724,777.2648921761913,155.45297843523826
30,1139.8293387770602,869.1148155091986,173.82296310183972
31,1385.2278184508937,699.7699111346892,139.95398222693785
32,1198.6502775262065,947.9067747126335,189.5813549425267
33,1094.22890710441,977.663512764329,195.5327025528658
34,1282.254491210319,842.0176245240751,168.40352490481504
35,1077.9156350028977,1088.878411594804,217.7756823189608
36,1220.8863595004755,752.908120439719,150.58162408794382
37,1004.0329876120225,724.2750143748216,144.85500287496433
38,1067.181395110157,926.9342182271967,185.38684364543934
39,1219.6861235869123,1025.6517963134586,205.13035926269174
40,1273.846657999541,1102.0713229749442,220.41426459498885
41,1217.136828118997,844.9338884557272,168.98677769114545
42,1188.435171761176,1029.4417000117555,205.88834000235113
43,1169.8896304410712,895.3789836599151,179.07579673198302
44,1052.1478009632572,879.2847240071017,175.85694480142035
45,1128.0155791605291,1006.0391924984007,201.20783849968015
46,1153.9361229040212,978.2787454096103,195.65574908192207
47,1305.7122226218917,710.8329411618901,142.16658823237802
48,1234.3618289568462,1077.1848419671076,215.43696839342152
49,1023.6959844637266,1065.6109624976941,213.12219249953884
50,1232.4083969394794,824.9324758188565,164.9864951637713
51,1161.4917719583684,947.4964240124891,189.49928480249784
52,1132.3077999694042,959.2836223539286,191.85672447078574
53,1261.1676288840868,931.2808518988688,186.25617037977378
54,1303.0999522495952,833.9633815385496,166.79267630770994
55,1293.1280119116198,819.4051958474338,163.88103916948677
56,1116.078247677736,896.9335114810266,179.38670229620533
57,1169.0787624148786,1040.7274823111238,208.14549646222477
58,1233.1263431403563,965.2320185513319,193.0464037102664
59,1297.554512712236,855.5262801496673,171.10525602993346
60,1152.082576215471,992.6038452778014,198.5207690555603
61,1181.4341023336183,558.1748855243909,111.63497710487819
62,1089.366502599397,1037.8518840446525,207.57037680893052
63,1080.3793375919329,691.2343465466281,138.24686930932563
64,1281.2525822394198,856.5070870316241,171.30141740632484
65,1335.6240028570824,765.6396126448627,153.12792252897256
66,1192.7989878419667,744.6382229134913,148.92764458269826
67,1300.3532897892023,1039.2992144854225,207.8598428970845
68,1236.1636025047635,843.8758558425731,168.77517116851462
69,1135.4880245394875,941.5804658076859,188.3160931615372
70,1236.1395605508415,894.3695305344979,178.8739061068996
71,1353.803656646597,957.2448992667746,191.44897985335493
72,1196.4173960890048,909.2186269272306,181.84372538544613
73,1356.4643655814007,746.0409330973716,149.20818661947433
74,938.0254895910256,1019.5520183336569,203.91040366673138
75,1282.1902504375223,840.7492100206425,168.14984200412852
76,1208.704706823817,713.2101721608299,142.64203443216599
77,1170.0992649534132,848.6261806840905,169.72523613681813
78,1209.1760776535502,1080.0911748761173,216.01823497522346
79,1001.2431085399107,1002.0266090536192,200.40532181072385
80,1178.0328112162488,858.1617438710568,171.63234877421138
81,1235.7112571511746,858.0890754817885,171.61781509635773
82,1347.7894044741515,861.4037938539141,172.28075877078282
83,1148.1729781726353,1149.209758027301,229.8419516054602
84,1119.1506397106812,945.8322542677864,189.1664508535573
85,1149.8242956415463,951.6049976629283,190.3209995325857
86,1291.5402117702074,1023.634014483821,204.7268028967642
87,1232.8751109659684,928.6546990831816,185.73093981663635
88,1147.023979623296,868.9149425015156,173.78298850030313
89,1251.3267433113356,876.4380181098026,175.28760362196053
90,1209.7077549348041,891.4078488703124,178.2815697740625
91,1296.864499053289,895.533331618819,179.10666632376382
92,1129.7946906122647,987.3155452364376,197.46310904728753
93,1167.2337853402232,906.2335062968759,181.2467012593752
